"description","region","industry","value"
"Initial demand for investments, adjsted for total GFCF supply, dsata from OECD \ # dataset 8A capital formation by activity. # GET DIRECT CONSTANTS('economy.xlsx', 'investments' , 'C7')","IT","agri",8091900000
"","IT","mining",2497290000
"","IT","manufacturing",52443300000
"","IT","petroleum",2639820000
"","IT","electricity",10665400000
"","IT","water",3608990000
"","IT","construction",7784740000
"","IT","trade",16930600000
"","IT","transport",22217200000
"","IT","hospitality",6390400000
"","IT","ict",14312400000
"","IT","finance",5373020000
"","IT","realestate",96761500000
"","IT","profserv",20556100000
"","IT","public",27439900000
"","IT","education",2025760000
"","IT","health",9376970000
"","IT","entertainment",3265120000
"","IT","otherserv",1843930000
