"description","region","industry","value"
"GET DIRECT CONSTANTS( 'economy.xlsx', 'investments', 'C4')","IT","agri",0.04932
"","IT","mining",0.05881
"","IT","manufacturing",0.09884
"","IT","petroleum",0.05691
"","IT","electricity",0.0423
"","IT","water",0.0423
"","IT","construction",0.08677
"","IT","trade",0.08416
"","IT","transport",0.04737
"","IT","hospitality",0.04942
"","IT","ict",0.1317
"","IT","finance",0.06872
"","IT","realestate",0.01288
"","IT","profserv",0.109
"","IT","public",0.04952
"","IT","education",0.05445
"","IT","health",0.0655
"","IT","entertainment",0.09301
"","IT","otherserv",0.08597
