"description","region","industry","value"
"(its a level) GET DIRECT CONSTANTS('economy.xlsx', 'investments', 'C3'","IT","agri",2.08071e+11
"","IT","mining",24588500000
"","IT","manufacturing",4.24228e+11
"","IT","petroleum",29643300000
"","IT","electricity",1.83492e+11
"","IT","water",91173600000
"","IT","construction",75573200000
"","IT","trade",1.72517e+11
"","IT","transport",3.56701e+11
"","IT","hospitality",1.03689e+11
"","IT","ict",81046100000
"f","IT","inance",8.5265e+10
"","IT","realestate",2.75039e+12
"","IT","profserv",1.16786e+11
"","IT","public",5.82674e+11
"","IT","education",35430900000
"","IT","health",87985500000
"","IT","entertainment",37623100000
"","IT","otherserv",22505500000
