"description","region","industry","value"
"Total Product, not PIB,  GET DIRECT CONSTANTS('economy.xlsx', 'inputoutput', 'C3') ","IT","agri",5.1486e+10
"","IT","mining",8488450000
"","IT","manufacturing",8.40928e+11
"","IT","petroleum",55030800000
"","IT","electricity",81924600000
"","IT","water",40706800000
"","IT","construction",2.53789e+11
"","IT","trade",3.21171e+11
"","IT","transport",1.7623e+11
"","IT","hospitality",98492400000
"","IT","ict",1.29114e+11
"","IT","finance",1.32655e+11
"","IT","realestate",2.18428e+11
"","IT","profserv",2.57921e+11
"","IT","public",1.36543e+11
"","IT","education",74505500000
"","IT","health",1.42941e+11
"","IT","entertainment",41307600000
"","IT","otherserv",56320700000
