"description","region","Industry","agri","mining","manufacturing","petroleum","electricity","water","construction","trade","transport","hospitality","ict","finance","realestate","profserv","public","education","health","entertainment","otherserv"
"percentage ~GET_DIRECT_CONSTANTS('economy.xlsx', 'internationaltrade', 'C50' ) |","IT","agri",0.0906645,0.140996,0.348,0.169536,0.272237,0.0065979,0.133534,0.0464,0.0646333,0.306,0.249087,0.129395,0.147652,1,0.0325129,0.0113513,0.0784196,0.065262,0.0815345
"","IT","mining",0.892088,6.36,2.55,38.8,6.86,1.27,0.0865681,4.58,6.4,4.79,0.334583,1.79596,0.671405,0.668,11.8,0.31763,1.74278,2.12001,1.9865
"","IT","manufacturing",0.0760224,0.31,0.75,0.29,0.631,0.0567,0.116,0.17,0.189,0.0274,0.325,0.0218929,0.0383,0.149,0.227,0.018912,0.628,0.0966,0.101285
"","IT","petroleum",0.00502604,0.0178246,0.295,0.495,0.257,0.0010126,0.075,0.0185927,0.585,0.00248597,0.124649,0.00218298,0.00461934,0.0168536,0.00189464,0.00391062,0.00434423,0.0122867,0.00339296
"","IT","electricity",0.000667074,0.0203303,0.0129,1.47,0.111,0.00976072,0.00755628,0.0343,0.0174566,0.00734508,0.020599,0.0344769,0.0112689,0.013281,0.102,0.000769529,0.00487828,0.0101831,0.00152539
"","IT","water",0.00142223,0.000622463,0.235,0.0064148,0.0184891,0.0324,0.011498,0.0160062,0.171,0.0169266,0.0103546,0.00154857,0.000332822,0.0477001,0.0680434,0.000195129,0.00147894,0.00193175,0.0140352
"","IT","construction",0.00226202,0.0454273,0.023,0.0117194,0.0097583,0.0170096,0.00268,0.0160522,0.00992068,0.0120897,0.015974,0.0120039,0.0046291,0.0203248,0.0807,0.0118309,0.00908321,0.0144554,0.00876303
"","IT","trade",0.0177037,0.0602586,0.0666,0.0598,0.0349,0.0230005,0.0389,0.0811,0.0926,0.0329,0.111,0.0777,0.0342185,0.0891,0.0345405,0.0264891,0.0498,0.0430963,0.0188464
"","IT","transport",0.0447476,0.044501,0.0564,0.0512,0.0874,0.068056,0.0589,0.0507,0.071,0.0759,0.0916,0.06,0.0679788,0.0811,0.214,0.0311049,0.0622971,0.0382364,0.0563625
"","IT","hospitality",0.0825418,0.140913,0.168,0.149329,0.062059,0.208882,0.0834,0.208,0.148,0.0766169,0.186,0.169752,0.242324,0.219,0.000161991,0.0264493,0.0682,0.0979429,0.0361003
"","IT","ict",0.0726503,0.142951,0.25,0.0528432,0.314,0.0575213,0.282,0.0976,0.221,0.107,0.127,0.115,0.125,0.123,0.0270464,0.0478585,0.111,0.1,0.0939602
"","IT","finance",0.16346,0.0923626,0.0907,0.0823473,0.0399468,0.140869,0.0579,0.0724,0.174,0.0586,0.083,0.0948,0.0123,0.112,0.0162544,0.0518637,0.0822,0.0805626,0.0429754
"","IT","realestate",0.632658,0.0354008,0.0144,0.0214954,0.102594,0.00930022,0.0829,0.0173,0.0186166,0.00962371,0.0267837,0.00650731,0.103,0.028,0.00121215,0.000361126,0.00962496,0.00960618,0.0221657
"","IT","profserv",0.0524181,0.134528,0.099,0.11,0.04507,0.0676,0.0577,0.0904,0.0924,0.0693,0.096,0.0751,0.0485,0.0749,0.0329,0.0434,0.0603,0.0482,0.0337896
"","IT","public",0.047217,0.0492569,0.0286863,0.00180652,0.0147354,0.0517523,0.0674609,0.017531,0.0315166,0.0272998,0.0300997,0.0350153,0.0277381,0.0361065,0.00445408,0.0110266,0.0185751,0.0114646,0.0210426
"","IT","education",0.00832334,0.0204652,0.0631398,0.0258871,0.0828484,0.0069059,0.101383,0.0313965,0.0236463,0.0176738,0.0408376,0.0502309,0.0361168,0.0330871,0.000511938,0.00940701,0.00916762,0.00868373,0.0316497
"","IT","health",0.0435587,0.0325706,0.731,0.0997921,0.0227731,0.0218597,0.0241267,0.0566752,0.200068,0.0294731,0.0947072,0.0378115,0.0221961,0.0479395,0.00114897,0.00669921,0.0176,0.0334333,0.0238446
"","IT","entertainment",0.0060106,0.127254,0.0553,0.15087,0.0258586,0.168768,0.0250058,0.035249,0.0600614,0.0647292,0.047362,0.0300599,0.0192199,0.0426364,0.00377906,0.0178214,0.0435488,0.00492099,0.00448067
"","IT","otherserv",0.011232,0.0628387,0.155,0.0885088,0.0617206,0.0409897,0.0556707,0.059332,0.0830516,0.0287233,0.138741,0.0942793,0.0847333,0.0948628,0.0191575,0.0301277,0.0455934,0.0207842,0.0126487
