"description","region","industry","value"
"annual hours worked per capita by industry : GET DIRECT CONSTANTS('economy.xlsx', 'labour', 'C4')","IT","agri",2610
"","IT","mining",1821
"","IT","manufacturing",1742
"","IT","petroleum",1833
"","IT","electricity",1794
"","IT","water",1794
"","IT","construction",1908
"","IT","trade",1945
"","IT","transport",1951
"","IT","hospitality",1964
"","IT","ict",1848
"","IT","finance",1791
"","IT","realestate",2185
"","IT","profserv",1770
"","IT","public",1555
"","IT","education",1137
"","IT","health",1565
"","IT","entertainment",1700.9
"","IT","otherserv",1597.8
