"description","region","industry","child","low","medium","high","cap"
"initial share skill by skill in each industry: `male share initial is`. GET_DIRECT_CONSTANTS('economy.xlsx', 'labour' , 'C17*')","IT","agri",0,0.715878,0.693114,0.625839,0
"","IT","mining",0,0.960719,0.842638,0.565793,0
"","IT","manufacturing",0,0.74382,0.727531,0.680136,0
"","IT","petroleum",0,0.74382,0.727531,0.680136,0
"","IT","electricity",0,0.911662,0.798802,0.693534,0
"","IT","water",0,0.947455,0.771626,0.653673,0
"","IT","construction",0,0.984421,0.892339,0.78648,0
"","IT","trade",0,0.677029,0.54504,0.468567,0
"","IT","transport",0,0.923317,0.738869,0.583562,0
"","IT","hospitality",0,0.500409,0.498424,0.358224,0
"","IT","ict",0,0.663187,0.674683,0.638263,0
"","IT","finance",0,0.647733,0.55719,0.577623,0
"","IT","realestate",0,0.534321,0.561412,0.513532,0
"","IT","profserv",0,0.468068,0.457069,0.56652,0
"","IT","public",0,0.814615,0.643045,0.548241,0
"","IT","education",0,0.348607,0.176369,0.270976,0
"","IT","health",0,0.260932,0.231381,0.4063,0
"","IT","entertainment",0,0.659746,0.58528,0.500193,0
"","IT","otherserv",0,0.254632,0.258344,0.309107,0
