"description","region","industry","value"
"GET DIRECT CONSTANTS('economy.xlsx', 'prices', 'B4')","IT","agri",0.61
"","IT","mining",0.61
"","IT","manufacturing",0.246
"","IT","petroleum",0.06
"","IT","electricity",0.13
"","IT","water",0.17
"","IT","construction",0.32
"","IT","trade",0.63666667
"","IT","transport",0.7225
"","IT","hospitality",0.4
"","IT","ict",0.77
"","IT","finance",0.74
"","IT","realestate",0.61
"","IT","profserv",1.405
"","IT","public",0
"","IT","education",0
"","IT","health",0
"","IT","entertainment",0.9
"","IT","otherserv",0.9
