"description","region","Industry","value"
"Euro ~GET DIRECT CONSTANTS('economy.xlsx', 'internationaltrade', 'B24') |","IT","agri",5138720000
"","IT","mining",907531000
"","IT","manufacturing",2.93e+11
"","IT","petroleum",11907800000
"","IT","electricity",696594000
"","IT","water",1051640000
"","IT","construction",894253000
"","IT","trade",16011100000
"","IT","transport",14435800000
"","IT","hospitality",44533400
"","IT","ict",9472520000
"","IT","finance",4414900000
"","IT","realestate",1506870000
"","IT","profserv",14137500000
"","IT","public",99401900
"","IT","education",63277600
"","IT","health",933172000
"","IT","entertainment",536647000
"","IT","otherserv",380863000
