"description","region","Industry","value"
"initial absolute growth sector-specific export growth","IT","agri",198265000
"","IT","mining",18465500
"","IT","manufacturing",11150800000
"","IT","petroleum",19261400
"","IT","electricity",-47360900
"","IT","water",-8390690
"","IT","construction",110132000
"","IT","trade",2191550000
"","IT","transport",218559000
"","IT","hospitality",5717240
"","IT","ict",219628000
"","IT","finance",474180000
"","IT","realestate",-87114300
"","IT","profserv",476436000
"","IT","public",113361000
"","IT","education",857241
"","IT","health",-42676000
"","IT","entertainment",21743100
"","IT","otherserv",15501600
