"description","coicop","x","y"
"Dmnl~fraction of expenditure spend on coicop goods according to incomeGET DIRECT LOOKUPS('economy.xlsx', 'consumption' , '27' , 'B28' )|","p_food",8196,0.2097
"","p_food",16905,0.1887
"","p_food",20038,0.16
"","p_food",24815,0.1396
"","p_food",34111,0.103
"","p_food",1e+06,0.1
"","p_tobacco",8196,0.049
"","p_tobacco",16905,0.039
"","p_tobacco",20038,0.0415
"","p_tobacco",24815,0.04106
"","p_tobacco",34111,0.0361
"","p_tobacco",1e+06,0.015
"","p_clothing",8196,0.0585
"","p_clothing",16905,0.062
"","p_clothing",20038,0.0687
"","p_clothing",24815,0.0663
"","p_clothing",34111,0.0684
"","p_clothing",1e+06,0.06
"","p_rental",8196,0.1975
"","p_rental",16905,0.1835
"","p_rental",20038,0.1699
"","p_rental",24815,0.1581
"","p_rental",34111,0.1461
"","p_rental",1e+06,0.1
"","p_water",8196,0.0256
"","p_water",16905,0.023
"","p_water",20038,0.0207
"","p_water",24815,0.0192
"","p_water",34111,0.0166
"","p_water",1e+06,0.025
"","p_electgas",8196,0.073
"","p_electgas",16905,0.0579
"","p_electgas",20038,0.0477
"","p_electgas",24815,0.0393
"","p_electgas",34111,0.0271
"","p_electgas",1e+06,0.03
"","p_furniture",8196,0.0587
"","p_furniture",16905,0.058
"","p_furniture",20038,0.0595
"","p_furniture",24815,0.0677
"","p_furniture",34111,0.0817
"","p_furniture",1e+06,0.1
"","p_medical",8196,0.0368
"","p_medical",16905,0.0323
"","p_medical",20038,0.0309
"","p_medical",24815,0.0282
"","p_medical",34111,0.0322
"","p_medical",1e+06,0.045
"","p_vehicles",8196,0.0664
"","p_vehicles",16905,0.0875
"","p_vehicles",20038,0.0987
"","p_vehicles",24815,0.1048
"","p_vehicles",34111,0.1284
"","p_vehicles",1e+06,0.15
"","p_transport",8196,0.0142
"","p_transport",16905,0.0152
"","p_transport",20038,0.0155
"","p_transport",24815,0.0165
"","p_transport",34111,0.0192
"","p_transport",1e+06,0.02
"","p_comunic",8196,0.0381
"","p_comunic",16905,0.0339
"","p_comunic",20038,0.0305
"","p_comunic",24815,0.0268
"","p_comunic",34111,0.0211
"","p_comunic",1e+06,0.02
"","p_culture",8196,0.038
"","p_culture",16905,0.06
"","p_culture",20038,0.0678
"","p_culture",24815,0.0819
"","p_culture",34111,0.0817
"","p_culture",1e+06,0.1
"","p_education",8196,0.0088
"","p_education",16905,0.0064
"","p_education",20038,0.0101
"","p_education",24815,0.013
"","p_education",34111,0.0098
"","p_education",1e+06,0.02
"","p_restaurant",8196,0.0449
"","p_restaurant",16905,0.0662
"","p_restaurant",20038,0.0784
"","p_restaurant",24815,0.1025
"","p_restaurant",34111,0.1227
"","p_restaurant",1e+06,0.133
"","p_care",8196,0.0288
"","p_care",16905,0.0356
"","p_care",20038,0.0426
"","p_care",24815,0.0412
"","p_care",34111,0.0416
"","p_care",1e+06,0.042
"","p_othserv",8196,0.0521
"","p_othserv",16905,0.0504
"","p_othserv",20038,0.0576
"","p_othserv",24815,0.0544
"","p_othserv",34111,0.0643
"","p_othserv",1e+06,0.04
