"description","region","coicop","x","y"
"Dmnl~fraction of expenditure spend on coicop goods according to incomeGET DIRECT LOOKUPS('economy.xlsx', 'consumption' , '27' , 'B28' )|","IT","p_food",8196,0.2097
"","IT","p_food",16905,0.1887
"","IT","p_food",20038,0.16
"","IT","p_food",24815,0.1396
"","IT","p_food",34111,0.103
"","IT","p_food",1e+06,0.1
"","IT","p_tobacco",8196,0.049
"","IT","p_tobacco",16905,0.039
"","IT","p_tobacco",20038,0.0415
"","IT","p_tobacco",24815,0.04106
"","IT","p_tobacco",34111,0.0361
"","IT","p_tobacco",1e+06,0.015
"","IT","p_clothing",8196,0.0585
"","IT","p_clothing",16905,0.062
"","IT","p_clothing",20038,0.0687
"","IT","p_clothing",24815,0.0663
"","IT","p_clothing",34111,0.0684
"","IT","p_clothing",1e+06,0.06
"","IT","p_rental",8196,0.1975
"","IT","p_rental",16905,0.1835
"","IT","p_rental",20038,0.1699
"","IT","p_rental",24815,0.1581
"","IT","p_rental",34111,0.1461
"","IT","p_rental",1e+06,0.1
"","IT","p_water",8196,0.0256
"","IT","p_water",16905,0.023
"","IT","p_water",20038,0.0207
"","IT","p_water",24815,0.0192
"","IT","p_water",34111,0.0166
"","IT","p_water",1e+06,0.025
"","IT","p_electgas",8196,0.073
"","IT","p_electgas",16905,0.0579
"","IT","p_electgas",20038,0.0477
"","IT","p_electgas",24815,0.0393
"","IT","p_electgas",34111,0.0271
"","IT","p_electgas",1e+06,0.03
"","IT","p_furniture",8196,0.0587
"","IT","p_furniture",16905,0.058
"","IT","p_furniture",20038,0.0595
"","IT","p_furniture",24815,0.0677
"","IT","p_furniture",34111,0.0817
"","IT","p_furniture",1e+06,0.1
"","IT","p_medical",8196,0.0368
"","IT","p_medical",16905,0.0323
"","IT","p_medical",20038,0.0309
"","IT","p_medical",24815,0.0282
"","IT","p_medical",34111,0.0322
"","IT","p_medical",1e+06,0.045
"","IT","p_vehicles",8196,0.0664
"","IT","p_vehicles",16905,0.0875
"","IT","p_vehicles",20038,0.0987
"","IT","p_vehicles",24815,0.1048
"","IT","p_vehicles",34111,0.1284
"","IT","p_vehicles",1e+06,0.15
"","IT","p_transport",8196,0.0142
"","IT","p_transport",16905,0.0152
"","IT","p_transport",20038,0.0155
"","IT","p_transport",24815,0.0165
"","IT","p_transport",34111,0.0192
"","IT","p_transport",1e+06,0.02
"","IT","p_comunic",8196,0.0381
"","IT","p_comunic",16905,0.0339
"","IT","p_comunic",20038,0.0305
"","IT","p_comunic",24815,0.0268
"","IT","p_comunic",34111,0.0211
"","IT","p_comunic",1e+06,0.02
"","IT","p_culture",8196,0.038
"","IT","p_culture",16905,0.06
"","IT","p_culture",20038,0.0678
"","IT","p_culture",24815,0.0819
"","IT","p_culture",34111,0.0817
"","IT","p_culture",1e+06,0.1
"","IT","p_education",8196,0.0088
"","IT","p_education",16905,0.0064
"","IT","p_education",20038,0.0101
"","IT","p_education",24815,0.013
"","IT","p_education",34111,0.0098
"","IT","p_education",1e+06,0.02
"","IT","p_restaurant",8196,0.0449
"","IT","p_restaurant",16905,0.0662
"","IT","p_restaurant",20038,0.0784
"","IT","p_restaurant",24815,0.1025
"","IT","p_restaurant",34111,0.1227
"","IT","p_restaurant",1e+06,0.133
"","IT","p_care",8196,0.0288
"","IT","p_care",16905,0.0356
"","IT","p_care",20038,0.0426
"","IT","p_care",24815,0.0412
"","IT","p_care",34111,0.0416
"","IT","p_care",1e+06,0.042
"","IT","p_othserv",8196,0.0521
"","IT","p_othserv",16905,0.0504
"","IT","p_othserv",20038,0.0576
"","IT","p_othserv",24815,0.0544
"","IT","p_othserv",34111,0.0643
"","IT","p_othserv",1e+06,0.04
