"description","region","industry","x","y"
"Dmnl~from https://www.eea.europa.eu/data-and-maps/dashboards/emissions-trading-viewer-1        ASSUMPTION: in 2050 no more free allowances        1) mining corresponds to 21  Refining of mineral oil        2) petroleum corresponds to 21-99 All industrial installations (excl. combustion)        3) electricity corresponds to 20 Combustion of fuels|","IT","agri",1,0
"","IT","agri",2,0
"","IT","mining",1,17945800
"","IT","mining",2,17945800
"","IT","mining",3,18285700
"","IT","mining",4,14488900
"","IT","mining",5,13244300
"","IT","mining",6,13211400
"","IT","mining",7,13080300
"","IT","mining",8,12832500
"","IT","mining",9,13594500
"","IT","mining",10,12329500
"","IT","mining",11,12075600
"","IT","mining",40,0
"","IT","manufacturing",1,0
"","IT","manufacturing",2,0
"","IT","petroleum",1,83801600
"","IT","petroleum",2,84325300
"","IT","petroleum",3,84899100
"","IT","petroleum",4,76904900
"","IT","petroleum",5,69349100
"","IT","petroleum",6,64151900
"","IT","petroleum",7,63059800
"","IT","petroleum",8,61582500
"","IT","petroleum",9,60570300
"","IT","petroleum",10,58158600
"","IT","petroleum",11,52096600
"","IT","petroleum",40,0
"","IT","electricity",1,116170000
"","IT","electricity",2,111003000
"","IT","electricity",3,107812000
"","IT","electricity",4,9909220
"","IT","electricity",5,8965340
"","IT","electricity",6,8342540
"","IT","electricity",7,7802420
"","IT","electricity",8,7342970
"","IT","electricity",9,6893700
"","IT","electricity",10,6435930
"","IT","electricity",11,5865490
"","IT","electricity",40,0
"","IT","water",1,0
"","IT","water",2,0
"","IT","construction",1,0
"","IT","construction",2,0
"","IT","trade",1,0
"","IT","trade",2,0
"","IT","transport",1,0
"","IT","transport",2,0
"","IT","hospitality",1,0
"","IT","hospitality",2,0
"","IT","ict",1,0
"","IT","ict",2,0
"","IT","finance",1,0
"","IT","finance",2,0
"","IT","realestate",1,0
"","IT","realestate",2,0
"","IT","profserv",1,0
"","IT","profserv",2,0
"","IT","public",1,0
"","IT","public",2,0
"","IT","education",1,0
"","IT","education",2,0
"","IT","health",1,0
"","IT","health",2,0
"","IT","entertainment",1,0
"","IT","entertainment",2,0
"","IT","otherserv",1,0
"","IT","otherserv",2,0
