"description","region","gender","industry","skill","x","y"
"~|","IT","male","agri","low",-1.6295,-1.6295
"","IT","male","agri","low",-1.5319,-1.5342
"","IT","male","agri","low",-1.4226,-1.4293
"","IT","male","agri","low",-1.2432,-1.2597
"","IT","male","agri","low",-1.0801,-1.1127
"","IT","male","agri","low",-1.0074,-1.0503
"","IT","male","agri","low",-0.9074,-0.9669
"","IT","male","agri","low",-0.7399,-0.8356
"","IT","male","agri","low",-0.6343,-0.7594
"","IT","male","agri","low",-0.4622,-0.651
"","IT","male","agri","low",-0.3274,-0.5722
"","IT","male","agri","low",-0.21,-0.5098
"","IT","male","agri","low",-0.0606,-0.4401
"","IT","male","agri","low",0.1087,-0.3717
"","IT","male","agri","low",0.3353,-0.287
"","IT","male","agri","low",0.652,-0.1812
"","IT","male","agri","low",0.6556,-0.1801
"","IT","male","agri","low",0.8008,-0.1402
"","IT","male","agri","low",1.0398,-0.092
"","IT","male","agri","low",1.1863,-0.0729
"","IT","male","agri","low",1.6468,-0.0405
"","IT","male","agri","low",2.1659,-0.0158
"","IT","male","agri","low",2.5933,-0.0025
"","IT","male","agri","low",2.9712,-8e-04
"","IT","male","agri","low",3.7292,0
"","IT","male","agri","medium",-1.2213,-1.2213
"","IT","male","agri","medium",-0.9366,-0.9566
"","IT","male","agri","medium",-0.7585,-0.8084
"","IT","male","agri","medium",-0.5091,-0.6242
"","IT","male","agri","medium",-0.3883,-0.5499
"","IT","male","agri","medium",-0.1536,-0.4288
"","IT","male","agri","medium",0.1028,-0.3234
"","IT","male","agri","medium",0.2659,-0.2731
"","IT","male","agri","medium",0.5667,-0.2143
"","IT","male","agri","medium",1.1688,-0.1305
"","IT","male","agri","medium",1.433,-0.0995
"","IT","male","agri","medium",1.6642,-0.0769
"","IT","male","agri","medium",2.1313,-0.0422
"","IT","male","agri","medium",2.7494,-0.0086
"","IT","male","agri","medium",2.8885,-0.004
"","IT","male","agri","medium",2.9128,-0.0034
"","IT","male","agri","medium",3.5854,0
"","IT","male","agri","high",-1.5734,-1.5734
"","IT","male","agri","high",-1.5186,-1.5225
"","IT","male","agri","high",-1.3535,-1.3839
"","IT","male","agri","high",-0.4384,-0.6435
"","IT","male","agri","high",-0.0497,-0.3822
"","IT","male","agri","high",0.0076,-0.3547
"","IT","male","agri","high",0.5018,-0.2155
"","IT","male","agri","high",1.4546,-0.0258
"","IT","male","agri","high",2.1497,0
