"description","region","gender","industry","skill","x","y"
"Dmnl~|","IT","male","agri","low",-1.6295,0
"","IT","male","agri","low",-1.6204,1e-04
"","IT","male","agri","low",-1.3649,0.0093
"","IT","male","agri","low",-1.1942,0.0202
"","IT","male","agri","low",-1.0985,0.0303
"","IT","male","agri","low",-1.0243,0.0403
"","IT","male","agri","low",-0.937,0.0543
"","IT","male","agri","low",-0.8474,0.0717
"","IT","male","agri","low",-0.7522,0.0928
"","IT","male","agri","low",-0.7125,0.1027
"","IT","male","agri","low",-0.6621,0.1166
"","IT","male","agri","low",-0.6475,0.1208
"","IT","male","agri","low",-0.6004,0.1369
"","IT","male","agri","low",-0.5057,0.1716
"","IT","male","agri","low",-0.4465,0.1951
"","IT","male","agri","low",-0.3024,0.2558
"","IT","male","agri","low",-0.21,0.2998
"","IT","male","agri","low",-0.0975,0.3588
"","IT","male","agri","low",-0.0185,0.4038
"","IT","male","agri","low",0.0083,0.4195
"","IT","male","agri","low",0.2299,0.5551
"","IT","male","agri","low",0.3353,0.6223
"","IT","male","agri","low",0.5518,0.7647
"","IT","male","agri","low",0.6971,0.8649
"","IT","male","agri","low",0.8008,0.941
"","IT","male","agri","low",1.0004,1.0993
"","IT","male","agri","low",1.098,1.1815
"","IT","male","agri","low",1.2178,1.2877
"","IT","male","agri","low",1.4079,1.4625
"","IT","male","agri","low",2.408,2.4144
"","IT","male","agri","low",3.7292,3.7292
"","IT","male","agri","medium",-1.2213,0
"","IT","male","agri","medium",-1.0712,0.0078
"","IT","male","agri","medium",-0.9366,0.02
"","IT","male","agri","medium",-0.8543,0.0317
"","IT","male","agri","medium",-0.8042,0.0407
"","IT","male","agri","medium",-0.7585,0.0499
"","IT","male","agri","medium",-0.6351,0.0772
"","IT","male","agri","medium",-0.5829,0.0921
"","IT","male","agri","medium",-0.525,0.1101
"","IT","male","agri","medium",-0.4918,0.1208
"","IT","male","agri","medium",-0.461,0.1314
"","IT","male","agri","medium",-0.4397,0.1401
"","IT","male","agri","medium",-0.3883,0.1616
"","IT","male","agri","medium",-0.3033,0.1989
"","IT","male","agri","medium",-0.2119,0.2447
"","IT","male","agri","medium",-0.1825,0.26
"","IT","male","agri","medium",-0.1107,0.2989
"","IT","male","agri","medium",0.0264,0.3796
"","IT","male","agri","medium",0.1245,0.4399
"","IT","male","agri","medium",0.2266,0.5103
"","IT","male","agri","medium",0.2815,0.5505
"","IT","male","agri","medium",0.4487,0.6836
"","IT","male","agri","medium",0.8241,1.0008
"","IT","male","agri","medium",1.433,1.5325
"","IT","male","agri","medium",2.1313,2.1735
"","IT","male","agri","medium",3.5854,3.5854
"","IT","male","agri","high",-1.5734,0
"","IT","male","agri","high",-1.5186,0.0039
"","IT","male","agri","high",-1.3535,0.0304
"","IT","male","agri","high",-0.4384,0.2051
"","IT","male","agri","high",-0.0497,0.3325
"","IT","male","agri","high",0.0076,0.3623
"","IT","male","agri","high",0.5018,0.7174
"","IT","male","agri","high",1.4546,1.4805
"","IT","male","agri","high",2.1497,2.1497
"","IT","female","agri","low",-1.5672,0
"","IT","female","agri","low",-1.252,0.0049
"","IT","female","agri","low",-1.0974,0.0176
"","IT","female","agri","low",-1.0328,0.0259
"","IT","female","agri","low",-0.9803,0.0333
"","IT","female","agri","low",-0.9287,0.0429
"","IT","female","agri","low",-0.8454,0.0614
"","IT","female","agri","low",-0.7883,0.0756
"","IT","female","agri","low",-0.7659,0.0819
"","IT","female","agri","low",-0.7318,0.0919
"","IT","female","agri","low",-0.6893,0.1055
"","IT","female","agri","low",-0.6047,0.1347
"","IT","female","agri","low",-0.5626,0.1507
"","IT","female","agri","low",-0.379,0.2249
"","IT","female","agri","low",-0.3568,0.234
"","IT","female","agri","low",-0.319,0.2508
"","IT","female","agri","low",-0.24,0.2897
"","IT","female","agri","low",-0.0351,0.398
"","IT","female","agri","low",0.0078,0.4225
"","IT","female","agri","low",0.1435,0.506
"","IT","female","agri","low",0.3141,0.6177
"","IT","female","agri","low",0.4895,0.7404
"","IT","female","agri","low",0.7702,0.945
"","IT","female","agri","low",1.1661,1.2498
"","IT","female","agri","low",1.4398,1.4768
"","IT","female","agri","low",2.873,2.873
"","IT","female","agri","medium",-1.7969,0
"","IT","female","agri","medium",-1.7926,1e-04
"","IT","female","agri","medium",-1.3681,0.0204
"","IT","female","agri","medium",-1.1996,0.0332
"","IT","female","agri","medium",-1.18,0.0356
"","IT","female","agri","medium",-1.0856,0.0521
"","IT","female","agri","medium",-0.8479,0.1042
"","IT","female","agri","medium",-0.7466,0.1304
"","IT","female","agri","medium",-0.5517,0.198
"","IT","female","agri","medium",-0.2194,0.3316
"","IT","female","agri","medium",-0.0775,0.3928
"","IT","female","agri","medium",0.1438,0.4971
"","IT","female","agri","medium",0.3523,0.614
"","IT","female","agri","medium",0.4736,0.696
"","IT","female","agri","medium",0.7727,0.9081
"","IT","female","agri","medium",0.9834,1.0698
"","IT","female","agri","medium",1.2681,1.3084
"","IT","female","agri","medium",1.4468,1.4693
"","IT","female","agri","medium",1.7361,1.7392
"","IT","female","agri","medium",1.9581,1.9581
"","IT","female","agri","high",-1.2028,0
"","IT","female","agri","high",0.8314,0.8314
"","IT","male","mining","low",-2.2864,0
"","IT","male","mining","low",-2.2264,1e-04
"","IT","male","mining","low",-2.1398,9e-04
"","IT","male","mining","low",-2.0573,0.0021
"","IT","male","mining","low",-2.0059,0.003
"","IT","male","mining","low",-1.9203,0.0049
"","IT","male","mining","low",-1.8235,0.008
"","IT","male","mining","low",-1.774,0.0098
"","IT","male","mining","low",-1.6428,0.0151
"","IT","male","mining","low",-1.5541,0.0201
"","IT","male","mining","low",-1.3895,0.0309
"","IT","male","mining","low",-1.2612,0.0404
"","IT","male","mining","low",-1.1497,0.0501
"","IT","male","mining","low",-1.0512,0.0601
"","IT","male","mining","low",-0.9629,0.0701
"","IT","male","mining","low",-0.87,0.0814
"","IT","male","mining","low",-0.8045,0.0902
"","IT","male","mining","low",-0.7391,0.1
"","IT","male","mining","low",-0.627,0.1208
"","IT","male","mining","low",-0.502,0.1508
"","IT","male","mining","low",-0.4151,0.1761
"","IT","male","mining","low",-0.3443,0.2001
"","IT","male","mining","low",-0.2175,0.25
"","IT","male","mining","low",-0.11,0.299
"","IT","male","mining","low",-0.0099,0.3506
"","IT","male","mining","low",0.0024,0.3574
"","IT","male","mining","low",0.074,0.3981
"","IT","male","mining","low",0.2479,0.5057
"","IT","male","mining","low",0.3934,0.6026
"","IT","male","mining","low",0.5479,0.7145
"","IT","male","mining","low",0.6575,0.7998
"","IT","male","mining","low",0.7816,0.9009
"","IT","male","mining","low",0.9069,1.0077
"","IT","male","mining","low",1.0178,1.1047
"","IT","male","mining","low",1.1272,1.2022
"","IT","male","mining","low",1.2354,1.3011
"","IT","male","mining","low",1.3509,1.4084
"","IT","male","mining","low",1.53,1.5771
"","IT","male","mining","low",1.6,1.6439
"","IT","male","mining","low",1.7681,1.8056
"","IT","male","mining","low",2.036,2.0658
"","IT","male","mining","low",2.1811,2.2075
"","IT","male","mining","low",2.571,2.5914
"","IT","male","mining","low",3.0887,3.1048
"","IT","male","mining","low",5.1189,5.1248
"","IT","male","mining","low",8.7342,8.7342
"","IT","male","mining","medium",-2.1433,0
"","IT","male","mining","medium",-2.1046,1e-04
"","IT","male","mining","medium",-1.9675,0.0011
"","IT","male","mining","medium",-1.8991,0.002
"","IT","male","mining","medium",-1.846,0.0029
"","IT","male","mining","medium",-1.7513,0.005
"","IT","male","mining","medium",-1.6374,0.0083
"","IT","male","mining","medium",-1.5792,0.0103
"","IT","male","mining","medium",-1.3528,0.0201
"","IT","male","mining","medium",-1.1812,0.0303
"","IT","male","mining","medium",-1.0548,0.04
"","IT","male","mining","medium",-0.952,0.0501
"","IT","male","mining","medium",-0.8675,0.06
"","IT","male","mining","medium",-0.7929,0.0701
"","IT","male","mining","medium",-0.7309,0.0806
"","IT","male","mining","medium",-0.6828,0.09
"","IT","male","mining","medium",-0.6363,0.1003
"","IT","male","mining","medium",-0.5377,0.1258
"","IT","male","mining","medium",-0.4597,0.15
"","IT","male","mining","medium",-0.3895,0.175
"","IT","male","mining","medium",-0.3269,0.2001
"","IT","male","mining","medium",-0.2148,0.252
"","IT","male","mining","medium",-0.118,0.3026
"","IT","male","mining","medium",-0.034,0.3502
"","IT","male","mining","medium",-0.0015,0.3695
"","IT","male","mining","medium",1e-04,0.3705
"","IT","male","mining","medium",0.0497,0.4007
"","IT","male","mining","medium",0.1273,0.4496
