"description","region","Industry","p_food","p_tobacco","p_clothing","p_rental","p_water","p_electgas","p_furniture","p_medical","p_vehicles","p_transport","p_comunic","p_culture","p_education","p_restaurant","p_care","p_othserv"
"Dmnl ~COICOP NACE bridge matrix: GET DIRECT CONSTANTS('economy.xlsx', 'consumption', 'U3')  Previous comment GET_DIRECT_CONSTANTS('economy.xlsx', 'consumption', 'B3') |","IT","agri",0.1474,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,6e-04,1e-04
"","IT","mining",0.006,0.0341,0.0026,0.0021,7e-04,0.2015,0.0011,0.001,0,0,2e-04,0.0191,0,5e-04,0.0021,1e-04
"","IT","manufacturing",0.7711,0.539,0.6939,1e-04,0,0,0.1202,0.2553,0,0,0.0042,1e-04,0,0,0.2515,0.0177
"","IT","petroleum",0.0043,0.0243,0.0018,0.0015,5e-04,0.3354,8e-04,7e-04,0.0363,0,2e-04,0,0,3e-04,0.0015,1e-04
"","IT","electricity",0.0046,0.0261,0.002,0.0016,6e-04,0.4631,8e-04,7e-04,0,0,2e-04,0,0,3e-04,0.0016,1e-04
"","IT","water",0,0,0,0,0.5878,0,0,0,0,0,0,0,0,0,0,0
"","IT","construction",0,0,0,0.0061,0,0,0.1576,0,0,0,0,0,0,0,0,0
"","IT","trade",0.0566,0.3202,0.0241,0.0199,0.0068,0,0.0103,0.009,0.9562,0,0.0022,0.8643,0,0.0043,0.0199,0.0013
"","IT","transport",0.0056,0.0318,0.0024,0.002,7e-04,0,0.001,9e-04,0.0058,1,0.2773,0.065,0,0.1841,0.002,1e-04
"","IT","hospitality",0,0,0,0.0543,0,0,0,0,0,0,0,0,0,0.7948,0,0
"","IT","ict",0,0,0,0,0,0,0.0815,0,0,0,0.7121,0.0019,0,0,0,0.1813
"","IT","finance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4714
"","IT","realestate",0,0,0,0.9107,0.3107,0,0,0,0,0,0,0,0,0.0152,0,0.0869
"","IT","profserv",0,0,0.0495,1e-04,0.0918,0,0.0142,0.0095,0,0,0.0029,4e-04,0,2e-04,0,0.196
"","IT","public",0.0037,0.021,0.0016,0.0013,4e-04,0,7e-04,6e-04,0,0,1e-04,0,0,3e-04,0.0013,1e-04
"","IT","education",6e-04,0.0031,2e-04,2e-04,1e-04,0,1e-04,1e-04,0.0016,0,0,0.0479,1,0,2e-04,0
"","IT","health",0,0,0,0,0,0,2e-04,0.6895,0,0,0,0,0,0,0,0.0072
"","IT","entertainment",0,0,0,0,0,0,0.3369,0,0,0,0,0.0011,0,0,0,0
"","IT","otherserv",0,2e-04,0.2219,0,0,0,0.2745,0.0328,0,0,5e-04,0,0,0,0.7192,0.0376
