"description","region","industry","value"
"1 = the industry participates to the EU-ETS and does not pay the carbon tax","IT","agri",0
"","IT","mining",1
"","IT","manufacturing",0
"","IT","petroleum",1
"","IT","electricity",1
"","IT","water",0
"","IT","construction",0
"","IT","trade",0
"","IT","transport",0
"","IT","hospitality",0
"","IT","ict",0
"","IT","finance",0
"","IT","realestate",0
"","IT","profserv",0
"","IT","public",0
"","IT","education",0
"","IT","health",0
"","IT","entertainment",0
"","IT","otherserv",0
