"description","industry","agri","mining","manufacturing","petroleum","electricity","water","construction","trade","transport","hospitality","ict","finance","realestate","profserv","public","education","health","entertainment","otherserv"
"TJ/Euro constant ~TJ/Meuro matrix of conversion coefficients from intermediate trade (Zdom) to energy Products GET_DIRECT_CONSTANTS('environment.xlsx', 'energy', 'B2') |","agri",2.34694,5.18444,4.72136,34.2336,10.8371,3.67345,1.91761,6.0659,5.71034,5.46069,2.01693,4.23819,4.58009,2.97094,3.95372,13.1636,9.59742,7.04845,4.03224
"","mining",9.4476,20.8699,19.0058,137.807,43.6248,14.7875,7.71933,24.4182,22.987,21.982,8.11912,17.0608,18.4371,11.9595,15.9157,52.9898,38.6344,28.3735,16.2317
"","manufacturing",0.262881,0.58071,0.52884,3.83451,1.21387,0.411464,0.214792,0.679442,0.639616,0.611653,0.225916,0.47472,0.513016,0.332775,0.442856,1.47445,1.07501,0.789498,0.451651
"","petroleum",13.5699,29.9762,27.2987,197.937,62.6598,21.2397,11.0875,35.0728,33.017,31.5735,11.6618,24.505,26.4819,17.1778,22.8602,76.1111,55.4919,40.7538,23.3142
"","electricity",2.66107,5.87837,5.3533,38.8157,12.2877,4.16513,2.17428,6.87781,6.47466,6.1916,2.28689,4.80546,5.19312,3.36859,4.48291,14.9255,10.882,7.99187,4.57194
"","water",0.253964,0.561012,0.510901,3.70444,1.17269,0.397506,0.207506,0.656395,0.61792,0.590905,0.218253,0.458617,0.495614,0.321487,0.427834,1.42444,1.03854,0.762717,0.436331
"","construction",0.000572,0.001263,0.00115,0.008342,0.002641,0.000895,0.000467,0.001478,0.001391,0.001331,0.000491,0.001033,0.001116,0.000724,0.000963,0.003208,0.002339,0.001717,0.000983
"","trade",0.293356,0.648029,0.590146,4.27903,1.35459,0.459163,0.239692,0.758206,0.713764,0.682559,0.252105,0.529752,0.572488,0.371352,0.494195,1.64538,1.19963,0.881021,0.504009
"","transport",0.009106,0.020115,0.018319,0.132826,0.042048,0.014253,0.00744,0.023536,0.022156,0.021187,0.007826,0.016444,0.017771,0.011527,0.01534,0.051074,0.037238,0.027348,0.015645
"","hospitality",0.006512,0.014384,0.013099,0.094981,0.030068,0.010192,0.00532,0.01683,0.015843,0.015151,0.005596,0.011759,0.012707,0.008243,0.01097,0.036522,0.026628,0.019556,0.011187
"","ict",0.003137,0.00693,0.006311,0.045761,0.014486,0.00491,0.002563,0.008109,0.007633,0.0073,0.002696,0.005665,0.006122,0.003971,0.005285,0.017596,0.012829,0.009422,0.00539
"","finance",0.003666,0.008097,0.007374,0.053467,0.016926,0.005737,0.002995,0.009474,0.008919,0.008529,0.00315,0.006619,0.007153,0.00464,0.006175,0.020559,0.01499,0.011009,0.006298
"","realestate",0.000176,0.000389,0.000354,0.002566,0.000812,0.000275,0.000144,0.000455,0.000428,0.000409,0.000151,0.000318,0.000343,0.000223,0.000296,0.000987,0.000719,0.000528,0.000302
"","profserv",0.002226,0.004918,0.004479,0.032475,0.010281,0.003485,0.001819,0.005754,0.005417,0.00518,0.001913,0.004021,0.004345,0.002818,0.003751,0.012487,0.009104,0.006686,0.003825
"","public",1e-06,3e-06,3e-06,1.8e-05,6e-06,2e-06,1e-06,3e-06,3e-06,3e-06,1e-06,2e-06,2e-06,2e-06,2e-06,7e-06,5e-06,4e-06,2e-06
"","education",0.012346,0.027272,0.024836,0.180083,0.057008,0.019324,0.010087,0.031909,0.030039,0.028725,0.01061,0.022295,0.024093,0.015628,0.020798,0.069246,0.050486,0.037078,0.021211
"","health",0.007012,0.015491,0.014107,0.102287,0.03238,0.010976,0.00573,0.018124,0.017062,0.016316,0.006026,0.012663,0.013685,0.008877,0.011813,0.039332,0.028676,0.02106,0.012048
"","entertainment",0.000981,0.002168,0.001974,0.014314,0.004531,0.001536,0.000802,0.002536,0.002388,0.002283,0.000843,0.001772,0.001915,0.001242,0.001653,0.005504,0.004013,0.002947,0.001686
"","otherserv",0.011996,0.026499,0.024132,0.174975,0.055391,0.018776,0.009801,0.031004,0.029187,0.027911,0.010309,0.021662,0.02341,0.015185,0.020208,0.067282,0.049054,0.036026,0.02061
