"description","industry","solid","liquid","gas","biomass","renew"
"Dmnl ~from TJ to CO2 Tton GET DIRECT CONSTANTS('environment.xlsx', 'emission', 'B48')GET DIRECT  CONSTANTS('environment.xlsx', 'emission', 'B49')GET DIRECT  CONSTANTS('environment.xlsx', 'emission', 'B50') |","agri",0.0937027,0.0722217,0.0537309,0.0891917,0
"","mining",0.139787,0.107741,0.0801564,0.133057,0
"","manufacturing",0.11411,0.0879504,0.0654326,0.108616,0
"","petroleum",0.092933,0.0716284,0.0532895,0.088459,0
"","electricity",0.10446,0.0805126,0.0598991,0.0994307,0
"","water",0.132401,0.102048,0.075921,0.126027,0
"","construction",0.0925566,0.0713383,0.0530737,0.0881007,0
"","trade",0.0705893,0.054407,0.0404773,0.067191,0
"","transport",0.0761738,0.0587112,0.0436795,0.0725066,0
"","hospitality",0.0585479,0.045126,0.0335724,0.0557292,0
"","ict",0.0598232,0.0461089,0.0343037,0.0569431,0
"","finance",0.0647604,0.0499143,0.0371348,0.0616427,0
"","realestate",0.06827,0.0526193,0.0391473,0.0649833,0
"","profserv",0.0661552,0.0509894,0.0379347,0.0629704,0
"","public",0.0729124,0.0561975,0.0418093,0.0694022,0
"","education",0.0673012,0.0518726,0.0385917,0.0640611,0
"","health",0.056309,0.0434003,0.0322886,0.0535981,0
"","entertainment",0.0628157,0.0484154,0.0360197,0.0597916,0
"","otherserv",0.0654771,0.0504667,0.0375458,0.0623249,0
