"description","industry","solid","liquid","gas","biomass","renew"
"Dmnl ~kton/euro NOTE: elect and renew have 0 for co2 coeff GET_DIRECT_CONSTANTS('environment.xlsx', 'emission', 'B28')","agri",0,0.98596,1,0.948685,0
"","mining",0,0.885462,1,1,0
"","manufacturing",0.608454,0.443038,0.96715,0.989508,0
"","petroleum",0.0147077,0.446605,1,1,0
"","electricity",0.9991,0.99995,0.980301,1,0
"","water",0.913684,0.995462,1,1,0
"","construction",1,0.479803,1,1,0
"","trade",0,0.881375,1,1,0
"","transport",0,0.950971,1,1,0
"","hospitality",0,0.999679,1,1,0
"","ict",0,0.999964,1,1,0
"","finance",0,0.995718,1,1,0
"","realestate",0,0.999974,1,1,0
"","profserv",0,0.996063,1,1,0
"","public",0,0.980307,1,1,0
"","education",0,0.999864,1,1,0
"","health",0,1,1,1,0
"","entertainment",0,1,1,1,0
"","otherserv",0,0.990874,1,1,0
