"description","Industry","value"
"Dmnl     ~     growth rate of renewable by industry between 2010 and 2021 (2022= original start policy)|","agri",0.00636364
"","mining",0.00636364
"","manufacturing",0
"","petroleum",0
"","electricity",0.017378
"","water",0.00636364
"","construction",0
"","trade",0.00636364
"","transport",0.003476
"","hospitality",0.00636364
"","ict",0.00636364
"","finance",0.00636364
"","realestate",0.00636364
"","profserv",0.00636364
"","public",0.00636364
"","education",0.00636364
"","health",0.00636364
"","entertainment",0.00636364
"","otherserv",0.00636364
