"description","region","Industry","value"
"percentage ~growth rate of the share of renewable by industry after policy start (after 2022 -in the original intent |","IT","agri",0.0111111
"","IT","mining",0.0111111
"","IT","manufacturing",0
"","IT","petroleum",0
"","IT","electricity",0.0194444
"","IT","water",0.0111111
"","IT","construction",0
"","IT","trade",0.0111111
"","IT","transport",0.0134444
"","IT","hospitality",0.0111111
"","IT","ict",0.0111111
"","IT","finance",0.0111111
"","IT","realestate",0.0111111
"","IT","profserv",0.0111111
"","IT","public",0.0111111
"","IT","education",0.0111111
"","IT","health",0.0111111
"","IT","entertainment",0.0111111
"","IT","otherserv",0.0111111
