"description","region","Industry","value"
"Dmnl ~weights from the composition of the gross fixed capital formation GET DIRECT CONSTANTS('economy.xlsx', 'investments' , 'pkweights') |","IT","agri",0.00216791
"","IT","mining",0.000909732
"","IT","manufacturing",0.306807
"","IT","petroleum",0.000624395
"","IT","electricity",0.00460079
"","IT","water",0.000899962
"","IT","construction",0.450309
"","IT","trade",0.0745137
"","IT","transport",0.00728279
"","IT","hospitality",0.000323304
"","IT","ict",0.0624711
"","IT","finance",0.00316163
"","IT","realestate",0.0329001
"","IT","profserv",0.0444042
"","IT","public",0.000586555
"","IT","education",0.00116219
"","IT","health",0.00372081
"","IT","entertainment",0.00150135
"","IT","otherserv",0.0016536
