"description","region","Industry","child","low","medium","high","cap"
"Dmnl ~ This coefficient gives us the ratio between the standard deviation/average wages gis. One standard deviation is thus equal to the coefficient*average wage. |","IT","agri",0,0.612257,0.818503,0.617269,0
"","IT","mining",0,0.435526,0.464754,0.604247,0
"","IT","manufacturing",0,0.435526,0.464754,0.604247,0
"","IT","petroleum",0,0.435526,0.464754,0.604247,0
"","IT","electricity",0,0.435526,0.464754,0.604247,0
"","IT","water",0,0.435526,0.464754,0.604247,0
"","IT","construction",0,0.465351,0.583853,0.724823,0
"","IT","trade",0,0.490991,0.561368,0.535373,0
"","IT","transport",0,0.474207,0.45651,0.52611,0
"","IT","hospitality",0,0.55199,0.670538,1.09268,0
"","IT","ict",0,0.521395,0.442675,0.514942,0
"","IT","finance",0,0.65424,0.556424,0.612272,0
"","IT","realestate",0,0.434499,0.9551,0.7026,0
"","IT","profserv",0,0.434499,0.9551,0.7026,0
"","IT","public",0,0.300643,0.354988,0.655674,0
"","IT","education",0,0.401608,0.487166,0.540573,0
"","IT","health",0,0.581286,0.402236,0.563971,0
"","IT","entertainment",0,2.49984,0.628882,0.596693,0
"","IT","otherserv",0,2.49984,0.628882,0.596693,0
