"description","region","industry","value"
"For now its fixed but it may become a initial value if endogeneised","IT","agri",0
"","IT","mining",0.03
"","IT","manufacturing",0.03
"","IT","petroleum",0.03
"","IT","electricity",0.03
"","IT","water",0.03
"","IT","construction",0.03
"","IT","trade",0
"","IT","transport",0.03
"","IT","hospitality",0.03
"","IT","ict",0.03
"","IT","finance",0
"","IT","realestate",0.03
"","IT","profserv",0.03
"","IT","public",0.03
"","IT","education",0.03
"","IT","health",0.03
"","IT","entertainment",0.0667864
"","IT","otherserv",0.00272075
