"description","region","industry","value"
" GET DIRECT CONSTANTS( 'economy.xlsx', 'technology', 'glambda_mean')","IT","agri",0.0757127
"","IT","mining",0.0778299
"","IT","manufacturing",0.0176657
"","IT","petroleum",0.142678
"","IT","electricity",0.0483171
"","IT","water",0.0483171
"","IT","construction",0.0222477
"","IT","trade",0.022322
"","IT","transport",0.0140109
"","IT","hospitality",0.0134632
"","IT","ict",0.0253557
"","IT","finance",0.0353505
"","IT","realestate",0.0172412
"","IT","profserv",0.00851767
"","IT","public",0.0109854
"","IT","education",0.0191534
"","IT","health",0.00766865
"","IT","entertainment",0.0207721
"","IT","otherserv",0.0200256
